,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Refilling since 2010.,<Post Cc8tPs5PG01>,178,3,"['refillrevolution', 'sustainablebeauty', 'careweis', 'kjaerwise']",29/04/22,"Refilling since 2010.
Creating uncompromising beauty products has been imperative since day one, it’s our purpose.

#refillrevolution 
#sustainablebeauty
#careweis
#kjaerwise",174,"[{'text': '🙌🏻', 'length': 2}, {'text': 'You’ve been such a pioneer 👏👏👏', 'length': 30}, {'text': 'Hey, do you answer to DM ?', 'length': 26}]"
"Amethyst and Primrose,",<Post Cc59eMgu7Pr>,496,17,"['uncompromising', 'blossomingintospring', 'nudeshades']",28/04/22,"Amethyst and Primrose, the most beautiful, soft yet impactful eyeshadows from our Blossoming Collection.
Thoughtfully created from all natural raw materials, gentle on the eyes and gentle on the environment in our Iconic refillable packaging.

#uncompromising #blossomingintospring #nudeshades",293,"[{'text': 'Love', 'length': 4}, {'text': 'SUCH gorgeous shades, really!', 'length': 29}, {'text': 'They look divine 🌹', 'length': 18}, {'text': 'Love these! Already took them home!', 'length': 35}, {'text': 'Hands down my favorite eye shadow look this spring. Totally achievable for non skilled people like me. Thanks you.', 'length': 114}, {'text': '❤️', 'length': 2}, {'text': '❤️', 'length': 2}, {'text': 'Ahh these shades! 😍😍😍', 'length': 21}, {'text': 'Sooo pretty💗💗💗💗', 'length': 15}, {'text': 'These two shades are absolutely gorgeous!', 'length': 41}, {'text': 'Worst customer service of any company I’ve ever purchased from on Instagram 👎🏻', 'length': 78}, {'text': 'Obsessed', 'length': 8}]"
The beautiful Red,<Post Cc09kh1vOid>,175,4,"['uncompromising', 'refillrevolution', 'sustainablemakeup']",26/04/22,"The beautiful Red Edition, an alternative to our Iconic metal cases, allowing for a personalized purchase.
Made from recyclable and compostable paper, it’s refillable, eco-friendly and luxurious all in one. 

#uncompromising #refillrevolution #sustainablemakeup",261,"[{'text': '🔥🔥🔥', 'length': 3}, {'text': 'Always so beautiful ❤️', 'length': 22}, {'text': 'Love this soft shade ❤️', 'length': 23}, {'text': 'So happy you’re offering a more affordable yet still sustainable option! 👏', 'length': 74}]"
Our Iconic Cream,<Post CcyX-vfvQfS>,447,6,"['earthday', 'refillrevolution', 'sustainablebeauty', 'certifiedorganic']",25/04/22,"Our Iconic Cream Blush case, to be kept forever and refilled over and over again, here in the color Blossoming. 

#earthday #refillrevolution #sustainablebeauty #certifiedorganic",178,"[{'text': 'Absolute favorite 💝', 'length': 19}, {'text': '@kjaerweis PLZ CHECK YOUR DM ❤️', 'length': 31}, {'text': 'Such a perfect component and product!', 'length': 37}, {'text': 'Love it 😍', 'length': 9}, {'text': 'Such a pretty color. Love this line.', 'length': 36}, {'text': '❤️🔥My HG blush!', 'length': 15}]"
The only makeup,<Post Ccvzm5pvjDz>,281,12,[],24/04/22,"The only makeup you’ll ever need in one perfect refillable palette with our beautiful Collectors Kit. 

The perfect home for your foundation, blush, eye shadow, and lip tint that you can refresh again and again.
Refresh your makeup routine today, and fill your own Beauty Clutch with your essentials

https://kjaerweis.com/products/the-collectors-kit-palette-1",360,"[{'text': '❤️mine! I just need the foundation! GreAt for travel & having everything I need in on compact', 'length': 93}, {'text': '😍😍😍', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': 'Love my box♥️', 'length': 13}, {'text': 'That’s cool. Does it come in any other colors? Red is my least most let’s just not favorite color?', 'length': 98}, {'text': 'I couldn’t find this on the website. Is it still available?', 'length': 59}, {'text': 'Would it be too heavy in all metal?', 'length': 35}, {'text': '♥️♥️♥️', 'length': 6}, {'text': '@kjaerweis where can we buy this?', 'length': 33}, {'text': ""i absolutely love my collector's kit and I have had it for quite sometime now and I love taking it everywhere with me.  I love your packaging and product @kjaerweis and love the sustainability factor that your brand brings. ❤️huge fan"", 'length': 234}]"
The secret to,<Post CctJxeGOtIZ>,105,0,[],23/04/22,"The secret to our lit from within glow; The Root of Light. 
Sourced from biodynamic farming.",92,None
Happy Earth Day,<Post Ccqjb8alAWo>,174,12,"['careweis', 'kjaerwise', 'earthday']",22/04/22,"Happy Earth Day 🌱 

#careweis
#kjaerwise
#earthday",50,"[{'text': '❤️❤️', 'length': 4}, {'text': 'Hi Kristen just want say your so inspiring ! 🙌❤️', 'length': 48}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': '👏', 'length': 1}, {'text': '🌎', 'length': 1}, {'text': '❤️❤️', 'length': 4}, {'text': 'Beautiful inside out ♥️', 'length': 23}]"
"By definition, to",<Post Ccp4CX_r1jk>,355,23,[],22/04/22,"By definition, to care is to immerse yourself in something bigger than yourself. And to live wise is to stay rooted in the profound realization that we are so very tiny in relation to our planet — and in the grand scheme of things. May you immerse yourself in the immensity of it all this Earth Day.",299,"[{'text': 'Ty for being part of the solution ❤️', 'length': 36}, {'text': 'Favourite brand ♥️', 'length': 18}, {'text': 'Love you', 'length': 8}, {'text': 'Love', 'length': 4}, {'text': '❤️', 'length': 2}, {'text': '❤️❤️❤️👏👏👏👏👏', 'length': 11}, {'text': 'So beautiful & Happy Earth Day❣️', 'length': 32}, {'text': '👏👏👏👏👏👏', 'length': 6}, {'text': '👏👏👏', 'length': 3}, {'text': ""Such a beautiful post!! Here's to CARING... and to staying WISE!!"", 'length': 65}, {'text': '🌍 ❤️ 💄', 'length': 6}, {'text': '👏', 'length': 1}, {'text': '💚🌱💚', 'length': 3}]"
Believing in a,<Post Ccn_nvqPJG8>,117,4,"['earthday', 'refillrevolution', 'refillablemakeup', 'sustainablebeauty']",21/04/22,"Believing in a refill system for all, we launched our super accessible Red Edition refill system two years ago.

The stunning Red Edition compacts are 100% refillable, recyclable and compostable and have been created to look like lacquered leather crafted from glossy, featherweight paper that’s eco-friendly and perfectly compostable.  Radiance you can refresh & repeat again and again.

Shop the Red Edition today

https://kjaerweis.com/pages/earth-week

#earthday #refillrevolution #refillablemakeup #sustainablebeauty",521,"[{'text': 'I definitely have my heart set on trying your products. They are just stunning to the eye and my favorite part, Ethically sourced and good for Mother Earth.✨🌱', 'length': 158}, {'text': '👏👏👏', 'length': 3}, {'text': 'Love it ❤️', 'length': 10}, {'text': 'Love it !!', 'length': 10}]"
We started the,<Post Cclbgh9vBWu>,278,18,"['refillrevolution', 'earthday', 'refillrevolution', 'refillablemakeup', 'sustainablebeauty']",20/04/22,"We started the makeup refill revolution over 12 years ago, with our sleek Iconic Edition makeup compacts and refill system.

The Iconic Edition is made from metal that will last forever and can be refilled over and over. Carefully created by Marc Atlan, the Iconic Edition is like a piece of jewelry to keep and love forever.

Have you joined the #refillrevolution yet?

https://kjaerweis.com/pages/earth-week

#earthday #refillrevolution #refillablemakeup #sustainablebeauty",475,"[{'text': ""I've been refilling since day 1 😍"", 'length': 33}, {'text': 'Just last week bought a refill for my powder.', 'length': 45}, {'text': 'yes 😍love it !', 'length': 14}, {'text': 'Yes I’m in your refill revolution party! ❤️', 'length': 43}, {'text': '@kjaerweis \n♥️♥️♥️', 'length': 18}, {'text': 'The best packaging in beauty 😍', 'length': 30}, {'text': 'This movement is everything. Small steps to a clean 🌎🌱', 'length': 54}, {'text': 'Yes, I replace almost all my make up with KW', 'length': 44}, {'text': 'Yes!!', 'length': 5}, {'text': 'Got a question about your products, sent a dm', 'length': 45}, {'text': 'Hej KW. Jeg elsker jeres produkter. Men jeg kunne især have ønsket, at jeres nye mascara havde passet til den gamle holder. Ellers står man jo med en refill, som lige nu ikke kan bruges.. når nu den nye mascara virker meget bedre end de forrige. Mvh Sara', 'length': 254}]"
A radiance done,<Post Cci2ZY-LT4y>,196,5,"['earthday', 'organicmakeup']",19/04/22,"A radiance done right!

We’re committed to making our formulas as kind-to-the-earth, as they are kind-to-the-skin.

All our luxury skin loving formulas are infused with certified organic ingredients that are hand selected for quality and sourced from partners we work with very closely that share our commitment to earth kindness.

https://kjaerweis.com/pages/earth-week

#earthday  #organicmakeup",397,"[{'text': 'This look is inspiring 😍', 'length': 24}, {'text': '✨✨✨', 'length': 3}, {'text': 'So pretty 😍', 'length': 11}, {'text': '😮', 'length': 1}, {'text': 'Perfect! ✨', 'length': 10}]"
"Making beauty sustainable,",<Post CcgGxtJrbK9>,230,1,"['earthday', 'refillrevolution', 'refillablemakeup', 'sustainablebeauty']",18/04/22,"Making beauty sustainable, and sustainable choices beautiful with our signature refill systems at Kjaer Weis.

How do you like to refill?
Red Edition or Iconic Edition?

Refill your way today, check out our beautiful packaging solutions

https://kjaerweis.com/pages/earth-week

#earthday #refillrevolution #refillablemakeup #sustainablebeauty",342,"[{'text': 'What a beautiful collection 😍 for me, the Iconic Edition!', 'length': 57}]"
Kirsten’s tip. Blossoming,<Post CcdtifMFsR8>,1155,27,"['kirstentip', 'blushednude', 'rosyradiance', 'blossomingintospring']",17/04/22,"Kirsten’s tip.
Blossoming collection is versatile. It can be used in a variety of ways, with a smoky eye or red lip, yet shown here in one of our favorite ways, a soft monochrome look.

https://kjaerweis.com/collections/blossoming-collection

#kirstentip #blushednude #rosyradiance #blossomingintospring",303,"[{'text': '😍', 'length': 1}, {'text': 'Gorgeous 😍😍', 'length': 11}, {'text': 'Elsker blossoming 🌸', 'length': 19}, {'text': 'Beauty 😚', 'length': 8}, {'text': 'Beautiful inside out ♥️', 'length': 23}, {'text': '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 26}, {'text': '❤️❤️', 'length': 4}, {'text': 'I want please 😍😍', 'length': 16}, {'text': 'I ❤️many of your products, but please remove the fragrance !', 'length': 60}, {'text': '🌸🌸🌸', 'length': 3}, {'text': '😍😍😍😍', 'length': 4}, {'text': '❤️❤️', 'length': 4}, {'text': 'Tak det var dejligt at se farverne på dig og ikke kun de alt for skønne modeller❤️😍 Jeg må eje det hele👏', 'length': 104}, {'text': 'SO BELLA Kirsten 💕💟💕', 'length': 20}]"
Hello spring 🌸,<Post CcbLgy_J6dv>,236,1,[],16/04/22,Hello spring 🌸,14,"[{'text': '😍🌸✨', 'length': 3}]"
Our favorite shade,<Post CcYXScxrRLs>,365,4,"['blushednude', 'rosyradiance', 'blossomingintospring', 'blossomingcollection']",15/04/22,"Our favorite shade this Spring? Meet Blossoming, a blushed nude, soft warm pink with a rosy hue that flatters all skin types and all skin tones. Get that fresh-faced, rosy radiant look with our full color collection.

https://kjaerweis.com/collections/blossoming-collection

#blushednude #rosyradiance#blossomingintospring #blossomingcollection",344,"[{'text': 'Is this different from the precious Blossoming blush?', 'length': 53}, {'text': 'We have taken our Blossoming blush and turned it into a collection including lip and eye products.', 'length': 98}, {'text': 'It looks so soft and delicate', 'length': 29}, {'text': 'What eyeshadow is the model wearing?', 'length': 36}]"
No look is,<Post CcV9HUVOOyo>,245,6,['kwimpossiblemascara'],14/04/22,"No look is complete without eyes that pop. Have you tried our award-winning Im-possible mascara? Certified Organic breakthrough — a high-impact, long lasting, volumizing formula powered by nourishing ingredients.

#kwimpossiblemascara",234,"[{'text': 'Yes. My favorite mascara of all times. ❤️', 'length': 41}, {'text': 'love this❤️', 'length': 11}, {'text': 'Oh wow, love the luxurious and chic design of your product! Perfect! Please check your DMs 😍', 'length': 92}, {'text': 'It is the best mascara I have tried! So happy with it 🙏🏻❤️', 'length': 58}]"
