,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
If you're seeing,<Post Cc7-ysJONRp>,681,18,[],29/04/22,"If you're seeing this - reapply your sunscreen!☀️😉

NYC and LA friends we have billboards popping up in your cities - post a photo or video of you reapplying your sunscreen in front of one of our billboards and tag us for a chance to win some SPF💙 @colossalmedia",262,"[{'text': '🙌🙌🙌', 'length': 3}, {'text': 'So obsessed with this sunscreen. I have searched literally for years for this type of sunscreen. It is amazing!!!!', 'length': 114}, {'text': 'I need this in Argentina!!! ❤️ 😍', 'length': 32}, {'text': 'Wow!!! Dreams do come true!', 'length': 27}, {'text': 'It’s everything!!!', 'length': 18}, {'text': '♥️😊', 'length': 3}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Alwaysss😍', 'length': 9}, {'text': 'Yes! 😍❤️', 'length': 8}, {'text': 'It’s all happening ✨💕🌤', 'length': 22}, {'text': '❤️', 'length': 2}, {'text': 'So amazing!!', 'length': 12}, {'text': 'Great reminder', 'length': 14}, {'text': 'I just want to say this - wow I’m impressed! 😮 I’ve tried tons of sunscreens throughout the years on my face all with dissatisfaction however I just purchased the Matte and Zinc Screens! Holy Moly! Simply the best! I’ve never tried any like it! I actually love to apply it lol 😆 haven’t got burned it’s my fave!!! ❤️', 'length': 316}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Glamily helps brands increase their visibility, build trust and boost sales by connecting vetted micro-influencers and consumers at scale in an effective way. 😘 DM for feature and collab.', 'length': 187}, {'text': 'I just purchased your mineral Play sunscreen! I love it!! It blends in so well onto the face. Next purchase is the t-shirt💛🧴☀️ @supergoop', 'length': 137}]"
Two of our,<Post Cc5iyj1uG7c>,1122,30,[],28/04/22,Two of our everyday essentials☀️💙 Which SPF fave are you wearing today?,71,"[{'text': 'Play is my fav👏', 'length': 15}, {'text': 'Love ESF!', 'length': 9}, {'text': 'I’m wearing your glow sunscreen! I love it!', 'length': 43}, {'text': 'When is Every Single Face gonna be in Canada?', 'length': 45}, {'text': 'every single face I love it so much!!!', 'length': 38}, {'text': ""Do you all have anything that's fragrance free?"", 'length': 47}, {'text': 'Awesome - this looks great! 😁🙌🙌💚', 'length': 32}, {'text': 'Play 💫 but now I want the watery one too 😍💧', 'length': 43}, {'text': 'ESF has VERY quickly become my favourite spf 😍😍', 'length': 47}, {'text': 'I’ve been getting supergoop recommendations!!', 'length': 45}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'this looks interesting 😍', 'length': 24}, {'text': 'Glow sunscreen ☀️🤍 such an amazing sunscreen 🥺', 'length': 46}, {'text': 'We have sent a DM!!! Pleawe check it🙏', 'length': 37}, {'text': 'I loved using the Play spf, perfect for working out😍 But its empty now🙇🏽\u200d♀️🙇🏽\u200d♀️', 'length': 80}, {'text': 'Are we not shipping to Canada?', 'length': 30}, {'text': ""Can't wait to try... Haven't seen available in Europe. Love from Portugal 💛"", 'length': 75}, {'text': 'Every single face! Never tried the other!', 'length': 41}, {'text': ""Does supergoop have a sunscreen that doesn't stain clothing ? It has been my biggest struggle (besides stinging eyes, pilling and white cast of course)"", 'length': 151}, {'text': 'By far the best sunscreen I have EVER had!!!! The daily and the glow lotions make my face brighter and I swear smoother. I can still apply makeup on top too and it doesn’t get into any lines or creases in my face. Love Love Love these products!! Thank you!', 'length': 256}, {'text': 'every. single. face has been my go to!!! Silky smooth ✨', 'length': 55}, {'text': ""I love superscreen as my moisturizer and matte screen for light coverage.  If at the beach, I apply zip screen for going around town. A mineral formula tends to prevent burns in the harsher sun conditions at the ocean. I've switched from glow stick to the baby mineral stick for my 12 year old who is constantly in the ocean. It seems to stay on better in the water. Any thoughts about which formulas are more water resistant? Love all your stuff!!"", 'length': 448}, {'text': 'I would go for Every Single Face ☀️💙', 'length': 36}, {'text': '@supergoop PLZ CHECK YOUR DM ❤️', 'length': 31}]"
Every. Single. Face.,<Post Cc2v8oUuFBN>,756,12,['wearsunscreen'],27/04/22,"Every. Single. Face. Every. Single. Day. ☀️

We love seeing you all staying safe in the sun! 💛 @hereskim @mcarthurjoseph @cpwears @ang.vega 

Tag @supergoop on your photos when you're wearing our sunscreen for a chance to be featured next! #wearsunscreen",254,"[{'text': 'I just recently got a sample of the every single face sunscreen and I get so excited to use it everyday, might be my new fav\U0001faf6🏻☀️', 'length': 128}, {'text': '💛💛💛💛', 'length': 4}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Sunscreen is a MUST especially here in Texas 😅🥵', 'length': 47}, {'text': 'I wanna get this one 😍😍😍', 'length': 24}, {'text': '💛💛💛', 'length': 3}, {'text': 'LOVE IT 💛💛💛💛💛', 'length': 13}, {'text': 'Mood! ❤️', 'length': 8}, {'text': 'Ahhhh love you @supergoop !! The glow screen is my life saver 🤩', 'length': 63}]"
Don't forget your,<Post Cc0YyVVO9hI>,1364,35,[],26/04/22,"Don't forget your hands need sun protection too! 👋💛 (@ecovi)

Handscreen SPF 40 is the very first preventative hand cream that's also super hydrating💧 This luxurious, fast-absorbing formula protects one of the most sun-sensitive spots on your body (your hands) with broad-spectrum SPF 40, all while delivering major nourishment and hydration, thanks to antioxidants and natural oils ✨",384,"[{'text': 'Would love a spf eye cream please!!!', 'length': 36}, {'text': 'Is it water resistant?', 'length': 22}, {'text': 'The best😍😍😍', 'length': 11}, {'text': 'This goes everywhere with me 🙌🏻🤍', 'length': 32}, {'text': 'Exactly! So many people overlook this❤️', 'length': 39}, {'text': 'Wait what!? I need it!', 'length': 22}, {'text': '🤩🤩🤩 yes they do!', 'length': 16}, {'text': '💛\U0001faf6🏻 everyday!!', 'length': 14}, {'text': 'So true !', 'length': 9}, {'text': 'A necessity', 'length': 11}, {'text': 'the perfect travel companion!', 'length': 29}, {'text': 'Need this for summer!!', 'length': 22}, {'text': 'A must!!', 'length': 8}, {'text': '🔥😍', 'length': 2}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Please check DM. Thank you!', 'length': 27}, {'text': 'Does this sunscreen stain clothing? I ruined way too many white shirts with spfs😢', 'length': 81}, {'text': 'Hey, can you give me a spf stick for free it is very costly for me to buy.', 'length': 74}, {'text': 'The BEST!!!! 🙌🙌🙌', 'length': 16}, {'text': '👏👏👏', 'length': 3}, {'text': 'Wow, our community would love to sample this 😍😍😍', 'length': 48}, {'text': 'I’d love to try it 😍😍', 'length': 21}, {'text': 'Will you ever ship to Canada from your site ?', 'length': 45}, {'text': 'Do you ship to Mexico? Where can I get it?', 'length': 42}, {'text': 'Gоod аftеrnoоn, сhеck Direсt ( hiddеn )', 'length': 39}, {'text': 'Pp', 'length': 2}, {'text': '@supergoop will the full range ever be available in the U.K. @cultbeauty ❤️❤️', 'length': 77}, {'text': '@supergoop is this one coming to Canada ?? Bring more products of your line to @sephoracanada 🔥💟', 'length': 96}, {'text': '@tlwebley @shazzzysmith old hands', 'length': 33}, {'text': '@tlwebley', 'length': 9}]"
Live Bright ft.,<Post CbsQVqILRzl>,661,28,['butfirstsunscreen'],29/03/22,"Live Bright ft. @spicy.mayo☀️

Yaminah is a writer and creative based in New York City ✨ Follow along with her day and stay tuned for more from our community 💛 #butfirstsunscreen",178,"[{'text': 'I use glow screen daily and love it!!', 'length': 37}, {'text': 'WE LOVE SPICY MAYO!!!!', 'length': 22}, {'text': 'Wearing sunscreen in the winter...yes!', 'length': 38}, {'text': 'I love her!', 'length': 11}, {'text': 'Love this so much!!', 'length': 19}, {'text': 'Love this! 😍💛', 'length': 13}, {'text': 'Love thissss', 'length': 12}, {'text': 'This is so good! ❤️', 'length': 19}, {'text': 'Love yaminah 💜', 'length': 14}, {'text': '👏🏽✨', 'length': 3}, {'text': '❤️❤️❤️❤️❤️', 'length': 10}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Love 🥰🥰❤️', 'length': 9}, {'text': '🌟🌟', 'length': 2}, {'text': '😍😍😍😍😍😍😍😍', 'length': 8}, {'text': 'Aww love this!', 'length': 14}, {'text': 'Wow that outfit 🤩🌞', 'length': 18}, {'text': 'Direct!!!❤️', 'length': 11}, {'text': 'Is it matte? My skin is already oily so I don’t need a glow or sheen from sunscreen.', 'length': 84}, {'text': 'Oooh. I’ve never heard of the clear sunscreen. Have to try this out. Also loving that yellow ensemble 🌻', 'length': 103}, {'text': '😍', 'length': 1}, {'text': 'Love @spicy.mayo !! And supergoop, duh', 'length': 38}, {'text': 'So cute!! We love @spicy.mayo! 😍🙌🏽🙌🏽', 'length': 36}, {'text': 'period!!! @spicy.mayo i have the unseen sunscreen toooo', 'length': 55}, {'text': '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ I’m here for @spicy.mayo', 'length': 53}, {'text': 'love this @spicy.mayo 😍', 'length': 23}, {'text': ""Does the unseen sunscreen have flashback? I'm curious for my future wedding makeup 😊 @supergoop"", 'length': 95}]"
No Sunday scaries,<Post CcvBUb7grTU>,484,7,[],24/04/22,No Sunday scaries here ☀️ Starting our day right with this reminder from  @wawa_gatheru 💛 What're your small goals for the day?,127,"[{'text': '🙌', 'length': 1}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Why does your sunscreen literally not work? I put on two thick layers before a 90min hike and I still got burnt, tanned, and have dry patches all over my arms right now. The face sunscreen also does not prevent a tan and dark spots!! 😤', 'length': 235}, {'text': 'I couldn’t agree more! My goal was to go for a run!', 'length': 51}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '💛💛💛', 'length': 3}, {'text': 'Sent you a dm 💛💛', 'length': 16}]"
@wawa_gatheru here to,<Post CctCFUpu-XQ>,1169,16,[],23/04/22,"@wawa_gatheru here to share some daily rituals and moments of joy with you ☀️ ➡️

1. A time you felt like your best self: This was the first photo I took of myself after surgery last year. Recovery took a massive toll on my physical and emotional health and this was the first time I felt like myself in a long time. I felt really beautiful here :)

2. A daily ritual: I can be a bit of a hermit at times (understatement) but spending time outside is so important to me. I see it as a practice of grounding myself in my community - human and non-human. 

3. Something feels like home: Finally feeling represented as a Black girl environmentalist. I spent so long feeling alone in the environmental movement and getting to be surrounded by other powerful Black women in this space has been incredible. It’s been a homecoming for me. 

4. A message from a loved one: I was going through a tough period of time in mid 2020 and asked some close friends for words of support. My friend Brenda sent me this lovely message and I remember ugly crying for a good hour. I look at this message every so often because it reminds me of the abundance of love that I have in my life & how lucky I am to have friendships that see the best in me, even when I don’t myself. 

5. Something that makes you smile 🥰: Exploring with my friends! My good friend Einass took this picture of me while we were exploring Mexico together after she had handed in her dissertation. Really good times. 

6. One thing you cannot live without (other than Supergoop! 😉): Community. Community is everything. 

We want to see your special moments too! Tag @supergoop for a chance to be featured 💛",1658,"[{'text': '🇮🇳🇵🇰🇨🇳🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🌍🔢📳✈️💸', 'length': 19}, {'text': 'Adore @wawa_gatheru 🥰', 'length': 21}, {'text': '🇮🇳🇵🇰🇨🇳🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🔢💸🎧✈️', 'length': 18}, {'text': 'Yaasss 🙌🏾💚🌸', 'length': 11}, {'text': 'Stunning', 'length': 8}, {'text': '💙💚Beautiful💚💙', 'length': 13}, {'text': '😍😍 wow incredible', 'length': 17}, {'text': 'I love this!', 'length': 12}, {'text': 'She such a beaut inside out 😍❤️', 'length': 31}, {'text': 'A beauty !', 'length': 10}, {'text': 'This is so beautiful and such a joy to read!', 'length': 44}, {'text': 'Wow wow we wah', 'length': 14}, {'text': 'Sehr hübsche Afrikanerin🙌', 'length': 25}, {'text': '😍😍😍😍😍', 'length': 5}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '😍😍😍😍', 'length': 4}]"
Taking notes 📝,<Post CcslrHbOSQz>,253,4,[],23/04/22,"Taking notes 📝 from @wawa_gatheru, founder of @blackgirlenvironmentalist 💛🌎 

""For a long time, environmentalism has centered the importance of taking care of the environment as a faraway place. It’s time that we understand that the environment is not just out there, it is here and a part of US. We are the environment.""",321,"[{'text': '🌎💛', 'length': 2}, {'text': 'saving! 🧡', 'length': 9}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '@supergoop do you sell anywhere in bulk?', 'length': 40}]"
@wawa_gatheru is an,<Post CcqbIdcL3AX>,944,11,[],22/04/22,"@wawa_gatheru is an environmental justice advocate, writer and current graduate student at the University of Oxford. She is a first generation American of Kenyan descent and the first Black person in history to receive the Rhodes, Truman and Udall Scholarships. She's also the founder of @blackgirlenvironmentalist. 

""As an environmental justice advocate, advocating for and protecting people + planet includes my own body, my temple... There was a time where I did not think SPF was as necessary for me, as I am a dark skinned Black woman... I see protecting my skin as an integral part of showing myself the love I deserve.""

Stay tuned for more from Wawa! 🌎",661,"[{'text': '❤️❤️❤️ So happy to have been a part of this!!', 'length': 45}, {'text': '❤️💯', 'length': 3}, {'text': '😍😍', 'length': 2}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '👏🏾👏🏾👏🏾👏🏾💚💚', 'length': 10}, {'text': 'DM’d you!', 'length': 9}, {'text': 'Where can i found it in France ?😕', 'length': 33}, {'text': 'LOVE! We need promotions/ ads like this!', 'length': 40}, {'text': '@alisuunni', 'length': 10}, {'text': 'Yes you @wawa_gatheru 🌿🌿🌿', 'length': 25}]"
A few small,<Post Ccp-o7gjxJd>,465,5,[],22/04/22,"A few small steps we're taking to be more eco-friendly today and everyday ☀️🌎➡️

(📸: @sophiaxverde)",99,"[{'text': '🙌🙌🙌', 'length': 3}, {'text': '💛💛💛', 'length': 3}, {'text': 'So happy to see the last slide!🌎👏 @ecocart.io', 'length': 45}, {'text': '👏👏👏👏🙌🙌🙌🙌🙌', 'length': 9}, {'text': ""Reef safe doesn't exist"", 'length': 23}]"
